Symbol,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding
PNBHOUSING,2.95%,26.03%,7.90%,19.15%,8.73%,28.39%,28.04,16.6,44.07,11.29
MSUMI,15.50%,11.95%,32.88%,1.44%,11.91%,-5.08%,61.73,9.74,17.41,11.12
LALPATHLAB,6.50%,44.64%,16.61%,-14.98%,10.54%,35.87%,53.21,17.18,21.23,8.38
FORCEMOT,19.79%,-32.06%,8.23%,-36.29%,15.44%,106.30%,61.63,10.93,1.75,25.69
TATAELXSI,4.22%,102.36%,9.40%,27.80%,4.98%,-0.92%,43.9,11.08,10.48,34.54
AWL,15.39%,2.85%,17.75%,52.55%,24.30%,581.65%,56.94,21.86,8.37,12.83
MANAPPURAM,11.08%,69.69%,10.71%,299.24%,13.10%,-45.22%,31.77,23.23,12.96,32.04
CDSL,-13.64%,-39.63%,17.09%,-18.64%,33.23%,25.45%,15,11.36,14.42,59.22
ACC,10.23%,-41.43%,16.87%,-68.52%,9.04%,2.88%,56.69,5.93,21.62,15.76
WOCKPHARMA,8.67%,168.85%,29.88%,464.44%,7.65%,87.92%,49.08,7.08,10.95,32.89
TATATECH,15.12%,31453.97%,22.29%,6.59%,1.00%,-0.36%,55.18,5.77,3.31,35.74
NETWEB,-3.88%,-3.71%,86.59%,65.67%,58.69%,50.82%,66.98,9.29,4.68,19.05
CESC,2.27%,50.99%,5.65%,18.91%,11.17%,-1.34%,52.11,11.59,26.24,10.06
CREDITACC,7.17%,34.69%,13.55%,619.23%,11.34%,-63.25%,66.24,12.94,12.59,8.23
PPLPHARMA,28.60%,84.70%,-0.08%,-116.32%,11.99%,411.39%,34.86,30.17,15.61,19.36
ACUTAAS,10.06%,26.42%,40.28%,114.09%,40.34%,229.35%,32.66,19.48,19.6,28.26
RRKABEL,16.89%,43.02%,33.65%,30.01%,15.52%,4.52%,61.65,9.1,13.33,15.92
AADHARHFC,4.44%,10.57%,18.25%,26.99%,20.13%,21.64%,64.9,6.13,9.15,19.82
HFCL,50.66%,82.90%,127.81%,325.29%,-8.97%,-48.67%,28.29,7.08,7.02,57.61
URBANCO,11.21%,-992.92%,47.80%,-167.22%,38.22%,358.45%,19.02,55.77,10.74,14.47
CRAFTSMAN,8.22%,8.68%,27.28%,74.49%,27.83%,-40.45%,48.7,15.19,27.64,8.47
RBLBANK,1.48%,7.23%,7.03%,180.97%,13.29%,-43.08%,,20.23,43.29,36.48
GALLANTT,12.22%,22.33%,12.37%,5.61%,1.55%,77.84%,70,0.09,0.08,29.83
ATUL,6.13%,28.93%,15.05%,62.70%,18.15%,53.90%,45.22,7.5,25.89,21.39
CAMS,1.30%,0.96%,10.96%,11.57%,25.16%,32.40%,,44.44,22.06,33.5
KPITTECH,5.78%,22.42%,11.95%,-26.93%,19.93%,40.28%,39.42,13.25,24.11,23.22
TATACHEM,-3.15%,-1927.36%,-2.02%,-2261.54%,-3.46%,-21.16%,37.98,11.9,22.83,27.29
IIFL,7.73%,24.32%,42.50%,147.96%,-0.38%,-70.71%,24.85,28.16,7.09,39.9
FSL,5.75%,70.56%,19.52%,27.72%,25.95%,15.49%,53.66,8.85,25.49,12
CUB,5.69%,8.25%,21.07%,24.86%,10.69%,10.62%,,23.37,40.73,35.9
CGCL,13.49%,10.72%,44.67%,59.12%,40.41%,71.27%,59.92,5.62,19.96,14.5
GRANULES,5.96%,34.19%,22.81%,32.59%,-0.55%,23.74%,38.02,15.31,17.01,29.66
EMMVEE,50.91%,48.83%,229.14%,295.54%,145.36%,1176.91%,80.03,2.45,12.28,5.24
BRIGADE,-7.46%,-8.08%,-0.19%,-24.01%,3.63%,69.68%,41.11,16.75,24.74,17.4
SYNGENE,13.02%,886.00%,1.82%,-19.31%,4.41%,-2.71%,52.68,13.91,26.44,6.97
CASTROLIND,7.31%,-1.02%,8.67%,3.74%,6.65%,2.45%,51,8.48,14.66,25.86
AARTIIND,-4.87%,3.01%,13.19%,42.71%,14.14%,-20.55%,42.09,7.38,20.11,30.42
KAJARIACER,17.56%,79.00%,12.40%,133.07%,3.60%,-21.46%,47.69,10.23,27.47,14.61
IFCI,3.20%,63.59%,13.74%,-86.92%,-5.56%,44.62%,72.57,2.65,1.64,23.14
ACMESOLAR,10.28%,21.63%,12.52%,13.29%,6.51%,-64.05%,83.29,3.6,7.05,6.06
VTL,-0.29%,16.77%,-0.42%,-20.57%,2.95%,39.27%,65.09,5.69,16.01,13.21
ABREL,1.77%,0.88%,-79.07%,13.61%,10.75%,-215.98%,50.21,9.04,16.38,24.37
CEMPRO,28.42%,118.39%,17.42%,113.63%,17.87%,36.16%,67.46,7.31,1.94,23.29
CHENNPETRO,5.23%,41.78%,-0.61%,211.07%,-10.59%,-92.20%,67.29,12.59,2.11,18.01
KFINTECH,-6.35%,-11.40%,22.86%,-4.10%,30.23%,35.19%,22.86,26.26,25.22,25.66
SCI,-6.11%,5.10%,14.19%,139.84%,11.08%,24.24%,63.75,8.98,2.49,24.78
